Research Title,Author,Abstract,University (Abbreviation),Campus
Assessment on the Adaptive Capacity of Students on Flexible Learning: The Case of Davao del Norte State College (Project 1 for BS-Disaster Resiliency Management),"Pelone, Boyeth C.","Despite the global health crisis due to Covid-19 pandemic that educational institutions facing today, DNSC assures to uphold and adhere its vision to be a beacon of knowledge and to lead innovation in uplifting lives of every Filipino family by providing quality education. Hence, to continue the mission of the college during this time of pandemic, its instructional delivery mode shifted into flexible learning and to be effective in this mode one must know the available resources of the students such as accessibility to computers and other gadgets and internet connectivity which are considered as primary tools in conducting the normal delivery of classes. Thus, this study was conducted using an online survey method. Results showed that among 247 officially enrolled students of Bachelor of Science in Disaster Resiliency Management (BSDRM) only 127 responded, giving 51% response rate. 2% of the respondents do not have electricity; 67% of respondents have internet connection while majority of them used mobile data as internet service provider; 87% used only smartphones in their classes, while 3 respondents admitted that they do not have gadgets to be used in their classes. In terms of internet connectivity, 65% claimed to have poor internet connection and most of them are first year students. In learning modalities 51% experienced a combination of modular online and online learning modalities, 93% had utilized already the Learning Management System (LMS) of the College. Google Meet was found out to be the commonly used platform for synchronous classes while Facebook Messenger application for asynchronous classes.",DNSC,Main
Assessment on the Adaptive Capacity of Students on Flexible Learning: The Case of Davao del Norte State College (Project 1 for BS-Entrepreneurship),"Agod, Joena Marie M.","COVID-19 outbreak caused most of the government to employ quarantine protocols and temporary closure including education sectors which affect millions of learners. To address the needs of the students who were currently enrolled during lockdown, colleges shifted into flexible learning modes and DNSC was one of them. The current study identified the availability of electricity, devices and internet connectivity of the students, the learning modalities and utilization of the DNSC Learning Management Systems and digital technologies used by their teachers in the conduct of synchronous and asynchronous modes, which were the usual concerns in conducting flexible learning modality. It utilized online survey using google forms and link was distributed through the students’ Facebook messenger. A total of 361 officially enrolled BS-Entrepreneurship students, only 211 has responded and answered the online survey, giving 58% overall response rate. The results showed that 44% students have no internet connection, 2% of them has no electricity in their homes. There is one (1) student who has no available device for learning. And 78% uses only mobile data for their internet connection, 75% has poor/intermittent internet connection while 97% uses smartphone for their classes. In terms of learning modalities, 53% experienced a combination of modular online and online learning modalities, 89% had utilized already the Learning Management System (LMS) of the College. Google Meet (85%) was found out to commonly used for synchronous classes while Google Classroom (75%) for asynchronous classes.",DNSC,Main
Assessment on the Adaptive Capacity of Students on Flexible Learning: The Case of Davao del Norte State College (Project 1 for BS-Tourism Management),"Gallano, Gerry Louis","Many college and universities were mandated to close as an intensive measure to stop the spread of the virus. Such move opt the education to shift into flexible learning modality. Yet, the said modality still posed issues like internet connection, availability of gadgets and technologies which are primary tools in conducting flexible learning. Along these lines, this research was conducted that identified the availability of electricity, devices and internet connectivity of the students, the learning modalities and utilization of the DNSC Learning Management Systems and digital technologies used by their teachers in the conduct of synchronous and asynchronous modes, to be effective in carry out the flexible learning modality. It utilized online survey using Google forms and link was distributed through the students' Facebook messenger. The target respondents were the 531 officially enrolled BS-Tourism Management students, which only 347 has responded the online survey, giving 55.3% overall response rate. The results showed that 52% students have no internet connection, 6 of them has no electricity in their homes. And 58% uses only mobile data for their internet connection, 81% has poor/intermittent internet connection while 7 students have no internet connection at all. In terms of gadgets used in their classes, 78% of them use only smartphones. In learning modalities 50% experienced a combination of modular online and online learning modalities, 90% had utilized already the Learning Management System (LMS) of the College. Google Meet was found out as commonly used for synchronous classes while Facebook Group/Page {81%) for asynchronous classes.",DNSC,Main
Assessment on the Adaptive Capacity of Students on Flexible Learning: The Case of Davao del Norte State College (Project 1 for BS-Social Work),"Llevado, Jerome","The educational institution is one of the many sectors that greatly affected by the COVID-19 pandemic. Many college and universities were mandated to close as an intensive measure to stop the spread of virus. Such move opt the education to shift into flexible learning modality. Yet, the said modality still posed issues like internet connection, availability of gadgets and technologies which are primary tools in conducting flexible learning. Along these lines, this research was conducted that identified the availability of electricity, devices and internet connectivity of the students. The learning modalities and utilization of the DNSC Learning Management Systems and digital technologies used by their teachers in the conduct of synchronous and asynchronous modes, to be effective in carry out the flexible learning modality. It utilized online survey using Google forms and link was distributed through the students’ Facebook messenger. The target respondents were the 302 officially enrolled. BS-Social Work students, which only 211 has responded the online survey. Giving 74% overall response rate. The result showed that 43% students have internet connection, 13% of them has no electricity in their homes and 66% uses only mobile data for their internet connection, 75% has poor/intermittent internet connection while 2% have no internet connection at all. In terms of gadgets used in their classes, 96% of them use only smartphones. In the learning modalities 61% experienced a combination of modular online and online learning modalities. 72% had utilized already the Learning Management Systems (LMS) of the College. Google Meet (96%) was found out to commonly used for synchronous classes while Google Classroom (81%) for asynchronous classes.",DNSC,Main
Demands of a Brave New World: Connectivity Capacity of BA Communication and BSED English Students of Davao del Norte State College,"Pampilon, Samsel Rhys A.","The study aimed to describe the status of Internet connectivity, devices available to use for learning, the platforms utilized with teachers during synchronous sessions, the platforms utilized with teachers during asynchronous session of BA Communication and BSED English Students of Davao del Norte State College. The study employed complete enumeration of respondents to answer the survey. Descriptive analysis and frequency were used in treating the data in order to accomplish the objectives, respondents are divided in terms of a good access to internet connection and almost all teachers require an online presence in order to deliver the lessons. Smartphones are used by most of the respondents compared with other devices such as laptops, and tablets. Respondents use social media in order to access asynchronous classes. For synchronous classes, respondents prefer platforms that have unlimited time for video conferencing. Half of the respondents have no internet connection is needed in order to maximize their use and attend to their classes synchronously and asynchronously. All of the platforms use din synchronous and asynchronous classes require internet connection through data or Wi-Fi. There should be an immediate action or help for the respondents who have no internet connection.",DNSC,Main
We can make it: A Survey on Online Learning Experiences and Student Satisfaction on Flexible Learning,"Somosot, Ian S.","When Higher Education Institutions shifted to online learning due to COVID-19, student satisfaction significantly dropped. This study aimed to identify the learning experiences of students in online learning, ascertain the level of student satisfaction, and determine the significant difference in the level of student’s satisfaction in online learning. A quantitative non-experimental design was used as a research design in which a stratified random sampling was employed to determine the 278 students to become the respondents and adaptive questionnaire was used to gather the data needed for the study. Percentage, mean, and ANOVA were used to statistically treat the gathered data. The study revealed that majority of the respondents had an access to electricity, television. This further showed that the most of the respondents did not own a radio and internet connection. The study confirmed that students used Mobile Data to attend online class and majority of them uses Smartphones. In terms of the learning modality, the study revealed that Modular Approach was most used learning modality in online learning. The study confirmed that all of the faculty were using DNSC LMS, Google Classroom. During the synchronous online learning, the instructor used Google Meet during online classes and Facebook Messenger during the asynchronous learning. This study concluded that the level of satisfaction with online learning do not vary significantly when analyzed according to status in internet connectivity, type of internet connection, devices used in flexible learning, and digital technologies used during synchronous flexible learning. The study concluded that there is a significant difference in the level of student satisfaction with online learning when analysed according to learning modality used in flexible learning and digital technologies used during the asynchronous flexible learning. Therefore, the use of both online learning and modular learning, and the use of other digital technologies like Facebook Messenger is highly encouraged to increase the level of student satisfaction with online learning.",DNSC,Main
Fisher-folk Disaster resiliency Program Proactive Evaluation Study no. 2: Fisher Practices and Governance in Panabo City,"Gutang, Arvin B.;Atowan, Razul A.","The study pursued evaluating the problems of the fisherfolks and determining proactive program management frameworks. The methods employed program-proactive evaluation by John Owen, criteria selection considered the purposive random sampling technique, used interview guide protocol, grounded theory matrix on the data analysis and basis for the paradigm illustration, logical framework approached used as a platformof the program management design. The reseach revealed that respondents experienced disasters both natural and human-made.The devastation brings anxiety and trauma, including the participant's family members, weak organizational management, and lack of sustainable government projects. The study discusses the fisherfolk management framework to strengthen the institutional mechanisms in terms of participatory governance, leadership by example, and strengthening transparency. The increasing disaster organizational development capability of the fisherfolk association significantly links to early disaster warning messages, disaster planning, education advocacy program, emergency response skills, sustainable livelihood health program, financial insurgence coverage, and multi-sectoral community support partnership.",DNSC,Main
Development of Extruded Ready to Eat (RTE) Snack Food from Composite Flours,"Tabinas, Ria Jayne A.;Rodriguez, Bernandita T.","Extruded snack food has become an ideal form for developing nutrient-dense snack food versions that can help alleviate malnutrition incidences. Snack foods are popular as they are part of the modern lifestyle of the majority of the population due to their attractiveness, taste, and convenience. This study aimed to optimize the levels of flours from rice, mungbean, and corn in the production of extruded ready-to-eat snack food. Mixture design was used to determine the optimum formulation. Parameters evaluated were the sensory acceptability for color, taste, crunchiness, hardness and general acceptability, physicochemical properties; pH, and water activity. Percent recovery and cost were also determined and used to obtain the optimum formulation. Results revealed that sensory qualities and physicochemical properties were significantly affected by the flours from rice, mungbean, and corn. Among the treatments evaluated, the formulation containing equal proportions (33.33% each) of the three flours was the best.",DNSC,Main
Influence of salinity levels on the VO2 of Molobicus hybrid tilapia strain at constant temperature under hypoxic to anoxic condition,"Ranara, Cyril Tom B.;Mondigo, Lord Martino S.;Delima, Shamae Ria R.","The influence of salinity levels on the VOZ of Improve Excel 2016 Tilapia fingerlings at constant temperature under hypoxic to anoxic conditions was investigated in this study. Hatchery-produced fingerlings with an ABW of 123g were conditioned for five days followed by three days of acclimation at a temperature of 28°C and healthy oxygen levels. There were nine fingerlings placed individually in water-bathed respirometry chambers with corresponding water salinity levels covered with aluminum foil. The initial rates of Nile tilapia fingerlings VO2 were typical to normoxic conditions from 2.27mg 02 g-1 h-1 but gradually declined to 0.38 mg O2 g-1 h-1 with increasing exposure time to severe hypoxia. The analysis of variance showed that there was no statistically significant difference in the VO2 of tilapia fingerlings under different salinity levels. However, it was observed that fingerlings at freshwater (00/00) survived longer (10 hours) and displayed an energy-saving behavior which displayed reduced VO2 to overcome such stressful conditions. The IE2016 Tilapia fingerlings' tolerance to low dissolved oxygen conditions varies with salinity concentration. The specific metabolic pathways may be investigated in response to a stressful condition such as salinity fluctuation that is normally occurring in aquaculture farms and hatcheries.",DNSC,Main
Design and Development of Personnel Record Management System in Davao del Norte State College,"Buladaco, Mark Van M.;Gamao, Ariel O.;Cutad, Reir Erlinda","Managing and monitoring employee information is an essential activity for state academic organizations. Public higher education institutions have difficulty managing their personnel records, especially when they have several employees. This would result in inaccurate information, redundancy of records, and incorrect reports. The primary purpose of this study is to design and develop a personnel record management system for Davao del Norte State College, a state higher education institution with more than 100 employees. The developmental research design was utilized to develop an information system for the DNSC HRMO office, particularly on employee information management. Prototype development model was followed involving data collection, analysis and design, prototype development, and deployment and testing. As a result, a personnel record management system was designed with data and process models. Modules on Personnel Data Sheet recording, user management, HR reporting, and search facility were developed following the system design. Black-box software testing was used for testing the functionality of the developed system, and it resulted in a fully-verified system based on the system requirements. Through this developed system, the services of the DNSC HRMO will be significantly explicitly improved, and it will possibly be an input for an update of the current processes in the HRMO.",DNSC,Main
Predicting BSIT Graduates Employability Using Feedforward Artificial Neural Network,"Gameng, Hazel A.;Delos Reyes, Ian Val P.;Denila, Pamila Grace","Data mining is a technique for assessing academic data and making decisions in the academic world. The purpose of this research is to predict the employability of BSIT graduates of Davao del Norte State College. The dataset for this study included 338 records with 33 variables representing the students' grades in core, professional, and elective courses. The Feedforward Artificial Neural Network, Logistic Regression, Naive Bayes, and Decision Tree were used as classifiers. The performance metric computations were compared to see what worked best with this dataset. As a result, it can be stated that on the dataset used in this study, FANN outperformed the other classifiers.",DNSC,Main
Relationship Between BSIS Student Performance and their Admission Information Using Apriori Algorithm,"Rebortera, Mariannie M.;Ibañez, Laarni C.;Alejandrino, Jovanne","Tertiary education is one of the driving forces that produce human capital and, as a result, contributes to a country's long-term economic growth. Higher education institutions' primary purpose is to provide students with the greatest and highest quality education possible. Thus, keeping an accurate, helpful, and efficient educational process is a top priority for any educational institution to increase the quality of its services and the education it provides to its students. From open admission, the Institute of Computing (IC) of Davao del Norte State College (DNSC) recently assessed applicants for admission based on their entrance exam results. Other factors considered included students' general high school average, national certificates, Senior High School academic track, and family economic situation. However, there are issues in admitting applicants based on the admission policy and identifying their success factors in the BSIS program. In this study, the Apriori algorithm is utilized to evaluate the relationship between the students' admission requirements and academic performance. The results show that the students' locality and the type of school they graduated from greatly affect their academic status.",DNSC,Main
Dimensions of Academic Resiliency In Facilitating Flexible Learning: Davao del Norte State College in Focus,"Decano, Ronald S.;Duping, Arnold M.;Borlio, Jevannel G.;Lagura, Glenne B.;Rubi, Armin L.","Each institution has travailed to combat the negative impacts of COVID-19 pandemic. This paper explores the dimensions of academic resiliency of Davao del Norte State College in facilitating flexible learning. There were 675 respondents, represented by 95% of students, 3% of faculty members and 2% staff, wherein the number satisfied the saturation point on the usage of the research instrument for Exploratory Factor Analysis (EFA). With the usage of JASP software, 47 item loadings gave off three (3) dimensions of academic resiliency namely: Institutional Adaptability, Administrative Support and Academic Intervention. After further analysis of the dimensions, subcategories emerged which include Establishment of DNSC CoVID-19 Task Force, Refocusing Academic Priorities, and Safeguarding Academic Health; Provision of System of Communication and Provision of Holistic Care; and Resources for Flexible Teaching and Learning and Effective Alternative Teaching and Learning Plan, respectively. Based on the generated results, all Item Loadings have the KMO values 0.9, which suggests that the 675 respondents are adequate to extract the constructs in reference to the Item Loadings tested. Bartlett's test of sphericity is significant with a p-value of < 0.001.The results indicate that factor analysis of the data is appropriate. Based on the result, the RMSEA value is 0.05, thus the factor loadings have a good a fit index. It is strongly suggested that the College consider to develop alternative means of distribution of food to students and their families during lockdown or equivalent amount of help, especially those marginalized learners. Parent involvement is strongly recommended. Furthermore, this paper suggests the College to develop alternative means of delivery, which included TV programs, if a partnership with television stations is feasible, podcasts, radio broadcasts, and learning packets either in digital form or on paper and the College should explore partnerships with community organizations and the private sector to deliver those.",DNSC,Main
Exploring the Lived Experiences on Flexible Learning to the Academic Community: The Case of Davao del Norte State College,"Decano, Ronald S.;Duping, Arnold M.;Borlio, Jevannel G.","In a new world of social distancing, higher education has become completely virtual. The pandemic flooded the world with immeasurable anxieties while battling with an unseen enemy. Yet, the provision of education must go on despite this health crisis. This study explores the challenges, coping mechanisms and yearned supports by the academic community particularly students and teachers during the flexible learning set-up. Phenomenology-qualitative research design was employed in which virtual in-depth interviews were utilized as data gathering tools. After analyzing the data, the participants revealed that most of the experiences of both the teachers and students in the academic community are comprised with struggles and challenges. The hardships encountered by students are on struggles in complying plenty of academic tasks and beating deadlines, losing focus due to intermittent internet connection and noisy learning environment, involving on family’s financial dilemma and lacking instructional materials and gadgets. Meanwhile, the teachers also experienced uncertainties in the delivery of quality teaching, struggles in establishing student engagement, doubled efforts in producing materials and handling synchronous classes and on the positive side, they have availed opportunities to learn new digital skills. On the coping mechanisms, students highlighted they ways and means to overcome the hardships by Doing independent learning and extensive researching to independently understand the module lessons and Imposing self-discipline and self-control towards distractions and procrastination. Teachers also used Varied Teaching Techniques and Initiatives in delivering quality instruction, fueled by Intrinsic Motivation. The findings implied that even though the academic community struggled in the sudden shift of the educational system, they had demonstrated resilient behaviors and cope with the demands. This further implied that the challenges encountered made them more innovative, positive, and collaborative to make timely strategies to attain academic resilience.",DNSC,Main
Pedagogical Appraisal of Eng 111 Purposive Communication Syllabus Implemented in Davao del Norte State College: Insight to an ESP-grounded Module for Eng 111,"Pampilon, Samsel Rhys A.;Barnido, Jeremy B.;Gallegos, Ivan N.","The study described the current state of the implementation of Eng 111 Purposive Communication in Davao del Norte State College in the perspective of teachers in terms of the experiences in the implementation of the syllabus and determined the baseline of the framework for creating an English for Specific Purposes (ESP)-grounded syllabus and module for Eng 111 Purposive Communication. Eight (8) themes emerged as revision recommendations: congestion of content topics which prioritize theory over application and needs-based activities; tendency for generic desired learning outcomes to cater to lower order thinking skills; mismatch of generic desired learning outcomes to the needs of learners; mismatch of desired learning outcomes to the teaching-learning activities indicated in the syllabus; incoordination in the conduct of assessment among faculty due to the incoherence of sequence of desired learning outcomes; Integration of educational technology found lacking; generically described assessments without a feedback mechanism; and departmentalized syllabus-writing to ensure alignment with Commission on Higher Education (CHED) Policies, Standards, and Guidelines for Purposive Communication. Seven (7) themes emerged as the basis for the framework in creating an ESP-grounded syllabus and module: specificity of content and activities to cater to program needs; general to specific approach on arrangement of topics; adoption of current learning desired learning outcomes; learner-centered approach in teaching-learning activities; assessments catering to higher order thinking skills; and focus on linguistic needs for future occupation/work. The study concludes that the Eng 111 Purposive Communcation syllabus needs to be revised gravitating towards an English for Specific Purposes (ESP)-grounded approach.",DNSC,Main
UAV Orthographic Mapping of the Panabo Mangrove Park,"Manseguiao, Mark Ronalds S.;Cereno, Ann Cherry C.;Lagare, Nickel Jean S.",This research models the mangrove density growth of the Panabo Mangrove Park using Landsat 7 and 8 satellite imagery. This study computed the Normalized Difference vegetation Index (NDVI) from 2000 to 2020. Data shows that the mangrove density increase from 2000 with a maximum value of .45 and a minimum value of -0.59 to maximum value of 0.48 and a minimum value of -0.14 in 2020. This shows that in 20 years there is an increase in the coverage of vegetation across the Panabo Mangrove Park however satellite image shows an increasing lack of growth at the mouth of the river indicative of growth inhibition due to siltation.,DNSC,Main
Success Under Pressure: A Probabilistic Analysis of the Predictors of the Licensure Examination Results,"Somosot, Ian S.;Duran, John Rae V.;Rodriguez, Bernandita T.","One of the important roles of Higher Education Institutions is to produce competent graduates who become future leaders in teacher education and fisheries technology. Study aimed to determine which predictors significantly influenced the licensure examination for teachers (LET) and licensure examination for fisheries technologist (LEFT) result. Quantitative research design was employed and 337 LET takers and 62 LEFT takers from DNSC from 2015- 2019 were investigated. The study used entrance test score, academic performance, and LET and LEFT results. Data were treated using frequency, Spearman’s correlation, and binary logistic regression. Result revealed that majority of LET takers entered teacher education got an average entrance test score and very good academic performance, while LEFT takers entered the Bachelor of Science in Fisheries got an average entrance test score and good academic performance. Study revealed that 89.9% of the LET takers passed the exam and 35.5 % of LEFT takers passed the examination. Study confirmed that there was a weak, positive monotonic correlation between entrance test score and LET and entrance test score and LEFT Results. It is also revealed that the academic performance and LET result has a weak, positive monotonic correlation and the academic performance and LEFT Results has a weak, positive monotonic correlation. It is concluded that of the two variables, statistically, only the admission test score has the likelihood to influence the LET results and LEFT results. Study suggested that schools offering Teacher Education Program and BS Fisheries and Aquatic Sciences to consider accepting students with high admission test score since study confirmed that for every 1-point increase of the admission test score, the likelihood that the LET and LEFT average score increase by approximately 2. Further investigation may consider and explore using other research designs and variables which is not included on the variables under investigation",DNSC,Main
"Flood Risk Assessment and Management of Vulnrerable Communitites in Panabo City, Davao del Norte","Pelone, Boyeth C.;Padios, Ian Jay T.;Fermil, Florie Ann L.;Decano, Ronald S.","This study was conducted in Barangay Sindaton, Panabo City, Davao del Norte. A descriptive survey was implemented to forty-three (43) members of Ata Mandaya tribe selected through purposive sampling. Then the responses were tabulated, quantified, and analyzed. This study aimed at assessing the IP communities in Panabo City, Davao del Norte in terms of sociodemographic characteristics, political structure, and DRM practices (issues and traditional knowledge). Also, this assessed the hazards, exposures, and vulnerabilities in the area. Lastly, the researchers recommended disaster management measures that could be of great help for LGU of Panabo City in integrating DRR policies into programs for the welfare of indigenous people. The study revealed that the IP community is considered vulnerable in terms of social, economic, physical, and ecological contexts. They are prone to different hazards in the community like floods, landslides, fire, banana spray, and the spread of coronavirus. The disaster risk management practices were assessed based on the four thematic areas of disaster risk management namely: prevention and mitigation, preparedness, response and recovery, and rehabilitation. Accordingly, they had practiced both indigenous and conventional disaster risk reduction and management to remain resilient and adaptive despite varying natural and anthropogenic disasters affecting their community. However, some of these disaster management practices were slowly eroded over time due to some reasons like the technological development, integration of the IP members with non-IP members, and loss of interest of young IP generations to adopt and assimilate such practices.",DNSC,Main
Exploring the Dimensions of Youth Voluntarism in Times of Crisis: A Framework Development,"Dagohoy, Ronel G.;Navales, Marck Lester L.;Juaton, Jezzel Joy A.","Voluntarism is invaluable to our society. Through voluntarism, undertakings that require collective actions are desirably accomplished. In this time of crisis brought by the COVID-19 pandemic, more individuals are affected by its unwanted impact socially, emotionally, and economically. Thus, youth voluntarism is imperative in addressing this adversity. This research paper explores the dimensions and generates a framework about youth voluntarism in times of crisis. The exploratory sequential mixed-methods design was utilized. For the data gathering in the qualitative phase, data saturation was applied, while in the quantitative phase, there were 300 Sangguniang Kabataan members surveyed in the Province of Davao del Norte. Exploratory factor analysis was used to attain the objectives of the study. The findings revealed four dimensions: response to public service, personal fulfillment, social support and motivation, and personal development. Also, a framework was developed from the identified dimensions. The framework of this study might be considered by the authorities responsible for youth organizations to advance and promote the spirit of voluntarism for community development and sustainability, particularly in times of crisis",DNSC,Main
PAG-AMUMA: Fostering Sustainable Tourism Behavior through Community-Based Social Marketing,"Gallano, Gerry Louis O.;Alfeche, Aivie V.;Agod, Joena Marie M.;Monreal, Mecah Ellah;Albite, Carlo Jay","Sustainable tourism is a critical issue in the tourism business, being one of the most recent methods used in the hospitality industry. Sustainable tourism is defined as a concept that provides more benefits than negative impacts, particularly in terms of the environment, economy, and the social welfare of communities. It should be everyone's concern and responsibility as sustainable tourism should improve the quality of life in places where people live as well as visit. This principle, however, is being overlooked as some business focus on firm-centered financial goals compromising the environment and the local people in the communities. Therefore, this study was conducted to assess the sustainable tourism practices of different tourism-related establishments (hotels, travel agencies, tourist attractions, resorts, restaurants, etc.) in Tagum City. The researchers found out that 70% of the establishments considers customer's perspectives in offering their services. And 65% of the products/services of the establishments satisfies the consumers' needs. 67% of the establishments maintains a long-term relationship with customers, while 64% of the establishments carries out its social responsibilities, 71% of the establishments practices Corporate Social Responsibility, 67% of the establishments creates better image in the society than its competitors, 67% of the establishments plans activities aimed at changing or maintaining people's behavior for the benefit of individuals and society as a whole, 67% of the establishments' marketing strategy aims to create desired change in the community rather than solely selling its products/services, 67% of the establishments prioritizes the human welfare and social improvement rather than profit and economic gain.",DNSC,Main
Development of Human Resource Information System for Department of Education (DepEd) Panabo City Division,"Tejada, Jonilyn A.;Gameng, A.;Gamao, Ariel O.;Padios, Ian Jay T.","Along with the evolution of technology comes the different approaches to more effective data handling and management in the Human Resource department of an organization. The Department of Education governs several public schools nationwide. The DepEd Central office has a system to be used by all regional human resource departments, to provide centralized management of employee records. However, it is still not officially implemented to all divisions under the regional offices. As an active partner of the DepEd Panabo Division, the lnstitute of lnformation Technology through the research team aimed to develop a Human Resource Management and lnformation System (HRMIS) for Panabo Division to sustain the electronic human resource processes of the office whenever the centralized system of the DepEd fails. The HRMIS is a web-based application that can be used to administer the personal data of the employees, track their service records, interpret available records for tentative promotions, evaluate leaves, enables flexible searching of records and generate reports such as eligible employees for promotion. Series of tests were conducted to ensure that the system conforms to the user requirements. The system was deployed and used in the HR office of the division, wherein the users are free to test the system and could give comments and suggestions to improve the system. A survey was also conducted to verify whether the system met the project objectives. A pool of users which composes of 4 administrators and 4 personnel evaluated the system. As a result, the system got an average mean of 4.55, indicating that the system was very efficient and research project objectives were met.",DNSC,Main
Formulation and Process Optimization of Cavendish Banana (Musa acuminata) Candy,"Tabinas, Ria Jayne A.;Besas, Jesebel R.;Esprela, Liezel T.;Rodriguez, T.;Torrejos, Sevetrim B.;Micabani, Neal Reggie","Davao del Norte has been regarded as the Philippines' Banana Capital, wherein Cavendish is the leading variety that is grown for exportation. As standards for these are high, a considerable amount often does not meet these standards hence, posing food wastage problems. With the heightened importance of food security and sustainability, there is a need to utilize and add value to these substandard bananas grown, especially by local farmers. In this study, Cavendish banana was transformed into candy using a 7 variable 8-run screening methodology to identify variables that can influence its quality. Variables evaluated were sugar, carboxymethylcellulose, butter, citric acid, cornstarch, cooking time, and shape. Responses measured were sensory acceptability using a 9-point hedonic scale, water activity, moisture content, total soluble solids, and titratable acidity. Statistical analysis revealed that sugar and carboxymethyl cellulose significantly affected the candy positively, whereas high levels of butter and cornstarch and cube-shaped candy negatively affected the sensory acceptability. In terms of water activity, all variables except sugar provided a significant effect. For total soluble solids, only citric acid and cooking time did not have a significant effect. pH is significantly affected by all variables, and moisture content was significantly affected by sugar, CMC, cooking time, and shape. Overall, it is the level of white sugar and CMC that provided the most significant effect on the product's quality parameters. It is recommended that these will be further subjected to optimization studies such as Response Surface Methodology to optimize their levels.",DNSC,Main
Community Structure of Wrasses (Labridae) in Seagrass and Coral Reef Habitats in Protected Area in the Island Garden City of Samal,"Gumanao, Girley S.;Lopez, Xavier N.;Nguyen, Minh Phuong","Wrasse (Labridae) are one of the largest reef fish in the tropical and sub-tropical regions of Asia with Scaridae and Chaetodontidae. Their diversity is linked with ecosystem services from habitats. This study aims to provide information on the community structure in terms of species composition, density, diversity, size and biomass of reef fishes (Labridae) between seagrass and coral reef fishes (Labridae) between seagrass and coral reef habitats within the Marine reserved Park of Davao del Norte State College in Island Garden City of Samal, Philippines. The Fish Visual Census was used in assessing the Wrasse in the two habitats. A total of 19 species of family Labridae were identified in seagrass (7 species) and coral reef (16 species) habitats. The density of Wrasses in Seagrass (342indv./1000m2) were significantly different but the biomass of wrasses in Seagrass (9.72kg/1000m2) and coral reef habitats (7.16kg/1000m2) were not significantly different. Those data were compared under t-Test: Two-Sample Assuming Equal Variances. The biodiversity indices show that diversity in coral reef habitat were higher than seagrass habitat which is dominated by Halichoeres scapularis. Coral reefs are more diverse while Seagrass have more diverse while Seagrass have more abundant smaller reef fishes. However both, seagrassa and coral reef habitats are equally significant in providing ecological habitats and variety of reef fishes (Labridae). The data also proved that Marine Reserved park of Davao del Norte State College is rich of Wrasse.",DNSC,Main
"Status of Parrot Fishes (Scaridae) in Samal Island, Philippines","Gumanao, Girley S.;Hoang, Anh Thai","Parrotfish (Scaridae) plays an important role in maintaining the structure of the coral reefs by taking part in bioerosion. The study on the status of parrotfish was conducted in Samal Island, Philippines from April to June 2017 to determine the species composition, biomass, density, size, structure and length – weight relationship. Fishery-dependent survey and Fishery-independent survey were employed in protected and unprotected site and fish markets respectively. A total of 27 species were identified with higher number of species from Fishery – dependent surveys. The study demonstrated no significant differences in species richness, biomass and density between the protected area and unprotected area. Most of the parrotfishes belonged to medium size category and did not reach their maximum size. Ten species had values greater than r2=0.90 of which 80% exhibited allometric growth while 20% displayed isometric growth. The parrotfish in Samal Island could recover abundance in shallow reefs and reach their optimum size by providing protection to small juvenile fishes in protected site. Fishing using prohibited fishing gears was noted and therefore regulated to sustain or improve the productivity of coral reefs.",DNSC,Main
"Reef Fish Associated with Corals Acropoda, Millepora and Policillopora in Marine Reserved Park in Samal Island","Gumanao, Girley S.;Cardona, Lemuel T.;Lopez, Xavier N.;Vo, Dieu Linh","Coral reefs are the largest and most diverse but also most vulnerable ecosystems. The association between reef fishes and coral species are very important in the structure and functions of ecosystems. A study on the association of reef fishes with Acropora, Millepora, and Pocillopora was conducted at Marine Reserve Park, Samal Island, Philippines on May 2017 to identify the species composition of reef fishes and compare their species abundance, biomass, size and diversity. Observations were performed using SCUBA through Fish Visual Census. A total of 20 reef species belonging to seven families were identified with Acropora having the highest species richness. Millepora had significantly higher in abundance (130.3 individuals/colony) than Acropora (48 individuals/colony) and Pocillopora (19 individuals/colony) but they are not significant different in terms of biomass. Millepora had reef fishes that are significantly smaller in mean size (2.7 cm) than Acropora (4.9 cm) and pocillopora (4.6 cm). These corals provide habitats for both adult and juvenile pomacentrids. However, Millepora provided habitat and protection for very small juvenile with size 2.0 to 4.0 cm. The varying length frequency of C. viridis in different coral genera suggests for a habitat shift as they grow in size., hence they moved from Millepora to Acropora",DNSC,Main
